Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,nov_header.message_name,nov_header.message_id,nov_header.message_type,nov_header.sequence_number,nov_header.time_status,nov_header.gps_week_number,nov_header.gps_week_milliseconds,latitude,longitude,height,north_velocity,east_velocity,up_velocity,roll,pitch,azimuth,status.status
1698855810.47787,24677,1698855810,477874040,novatel_imu_link,INSPVA,508,0,0,20,2286,318228660,44.2411430849,-76.510239389,72.6612243652,0.299,7.7812356949,-0.0220746305,1.1642019088,0.4689294485,87.9336275525,3
1698855810.49787,24678,1698855810,497874021,novatel_imu_link,INSPVA,508,0,0,20,2286,318228680,44.2411431386,-76.5102374391,72.6611175537,0.283,7.7882666588,0.0095537975,1.131610929,0.5396390997,87.929411333,3
1698855810.51787,24679,1698855810,517874002,novatel_imu_link,INSPVA,508,0,0,20,2286,318228700,44.2411431911,-76.5102354867,72.6613311768,0.284,7.810500145,0.0105615882,1.1182057216,0.6099554832,87.9279221461,3
1698855810.53787,24680,1698855810,537873983,novatel_imu_link,INSPVA,508,0,0,20,2286,318228720,44.2411432419,-76.5102335274,72.6617126465,0.267,7.8312587738,0.0303258374,1.0999094746,0.6538578905,87.9296103059,3
1698855810.55787,24681,1698855810,557873964,novatel_imu_link,INSPVA,508,0,0,20,2286,318228740,44.2411432911,-76.5102315637,72.6626205444,0.256,7.8565778732,0.0558154061,1.0950782781,0.697564961,87.934050502,3
1698855810.57787,24682,1698855810,577873945,novatel_imu_link,INSPVA,508,0,0,20,2286,318228760,44.2411433367,-76.5102295947,72.6636810303,0.238,7.8605833054,0.0432786979,1.1151811667,0.7218470646,87.9380051616,3
1698855810.59787,24683,1698855810,597873926,novatel_imu_link,INSPVA,508,0,0,20,2286,318228780,44.2411433798,-76.5102276237,72.6643753052,0.23,7.8876581192,0.0341176093,1.1330059014,0.7537864465,87.9396983741,3
1698855810.61787,24684,1698855810,617873907,novatel_imu_link,INSPVA,508,0,0,20,2286,318228800,44.2411434262,-76.5102256476,72.6652450562,0.26,7.8887095451,0.0481878184,1.1478193584,0.7693564946,87.9491285507,3
1698855810.63787,24685,1698855810,637873888,novatel_imu_link,INSPVA,508,0,0,20,2286,318228820,44.2411434738,-76.5102236699,72.6661605835,0.255,7.9109268188,0.0422223285,1.1458752876,0.7880247516,87.9549885534,3
1698855810.65787,24686,1698855810,657873868,novatel_imu_link,INSPVA,508,0,0,20,2286,318228840,44.2411435237,-76.5102216862,72.6670837402,0.274,7.9288716316,0.0550535172,1.1378957433,0.7901500288,87.960830887,3
